year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader
1984,48.0,47.0,1.0,1
1984,53.0,43.0,10.0,1
1984,52.0,42.0,10.0,1
1984,50.0,45.0,5.0,1
1984,52.0,44.0,8.0,1
1984,54.0,41.0,13.0,1
1984,52.0,44.0,8.0,1
1984,50.0,46.0,4.0,1
1984,53.0,43.0,10.0,1
1984,53.0,44.0,9.0,1
1984,55.0,38.0,17.0,1
1984,51.0,43.0,8.0,1
1984,53.0,39.0,14.0,1
1984,53.0,41.0,12.0,1
1984,52.0,41.0,11.0,1
1984,56.0,37.0,19.0,1
1984,58.0,37.0,21.0,1
1984,55.0,39.0,16.0,1
1984,58.0,38.0,20.0,1
1984,56.0,39.0,17.0,1
1984,59.0,41.0,18.0,1
