year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2004,44.0,50.0,6.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,49.0,45.0,4.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,47.0,43.0,4.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,50.0,44.0,6.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,47.0,47.0,0.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,47.0,45.0,2.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,46.0,47.0,1.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,43.0,49.0,6.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,48.0,47.0,1.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,45.0,50.0,5.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,46.0,47.0,1.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,51.0,45.0,6.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,48.0,46.0,2.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,48.0,46.0,2.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,52.0,45.0,7.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,52.0,44.0,8.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,49.0,49.0,0.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,48.0,49.0,1.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,52.0,44.0,8.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,51.0,46.0,5.0,1,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
2004,49.0,49.0,0.0,0,286,251,62040610,59028444,121069054,105.93,92.96,51.24,48.76,12.97,2.48
