year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2008,46.0,44.0,2.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,43.0,47.0,4.0,1,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,46.0,43.0,3.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,45.0,45.0,0.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,42.0,48.0,6.0,1,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,47.0,43.0,4.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,44.0,47.0,3.0,1,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,48.0,41.0,7.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,45.0,45.0,0.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,48.0,42.0,6.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,45.0,44.0,1.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,49.0,40.0,9.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,44.0,44.0,0.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,48.0,42.0,6.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,45.0,45.0,0.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,50.0,42.0,8.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,44.0,49.0,5.0,1,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,50.0,44.0,6.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,46.0,46.0,0.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,52.0,41.0,11.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,49.0,43.0,6.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,52.0,42.0,10.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,53.0,40.0,13.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
2008,53.0,42.0,11.0,0,173,365,59948323,69498516,129446839,64.07,135.19,46.31,53.69,71.12,7.38
