year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2020,50.0,45.0,5.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,46.0,4.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,44.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,44.0,7.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,44.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,47.0,42.0,5.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,48.0,42.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,47.0,43.0,4.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,44.0,5.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,48.0,42.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,42.0,7.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,42.0,8.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,41.0,10.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,40.0,10.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,41.0,9.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,40.0,9.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,41.0,9.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,42.0,9.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,42.0,7.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,42.0,8.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,43.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,50.0,43.0,7.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,49.0,43.0,6.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,42.0,9.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,52.0,42.0,10.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,43.0,8.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
2020,51.0,44.0,7.0,0,232,306,74216747,81268867,155485614,85.93,113.33,47.73,52.27,27.4,4.54
