year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1944,55.0,41.0,14.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,53.0,42.0,11.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,48.0,46.0,2.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,48.0,47.0,1.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,50.0,45.0,5.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,51.0,45.0,6.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,51.0,44.0,7.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,46.0,45.0,1.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,49.0,41.0,8.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,47.0,42.0,5.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,47.0,45.0,2.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,47.0,42.0,5.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,50.0,45.0,5.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,48.0,41.0,7.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,47.0,45.0,2.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,48.0,47.0,1.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,50.0,47.0,3.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
1944,51.0,48.0,3.0,0,99,432,22006285,25602504,47608789,36.67,160.0,46.22,53.78,123.33,7.56
