year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1996,43.0,39.0,4.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,47.0,34.0,13.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,49.0,35.0,14.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,47.0,32.0,15.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,49.0,35.0,14.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,49.0,33.0,16.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,50.0,33.0,17.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,50.0,35.0,15.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,52.0,30.0,22.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,48.0,39.0,9.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,50.0,38.0,12.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,38.0,13.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,34.0,21.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,53.0,36.0,17.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,54.0,36.0,18.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,34.0,21.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,34.0,21.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,32.0,23.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,34.0,17.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,50.0,36.0,14.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,52.0,36.0,16.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,53.0,34.0,19.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,38.0,13.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,49.0,39.0,10.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,37.0,14.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,57.0,32.0,25.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,53.0,36.0,17.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,39.0,12.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,35.0,20.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,55.0,34.0,21.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,38.0,13.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,56.0,35.0,21.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,48.0,39.0,9.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,36.0,15.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,54.0,35.0,19.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,52.0,33.0,19.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,53.0,34.0,19.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,54.0,34.0,20.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,49.0,37.0,12.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,51.0,35.0,16.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,50.0,37.0,13.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
1996,52.0,41.0,11.0,0,159,379,39198755,47402357,86601112,58.89,140.37,45.26,54.74,81.48,9.48
