year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1980,33.0,62.0,29.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,31.0,60.0,29.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,33.0,58.0,25.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,34.0,40.0,6.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,34.0,41.0,7.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,32.0,38.0,6.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,32.0,40.0,8.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,32.0,39.0,7.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,33.0,35.0,2.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,37.0,32.0,5.0,1,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,37.0,34.0,3.0,1,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,45.0,29.0,16.0,1,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,38.0,39.0,1.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,39.0,39.0,0.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,40.0,44.0,4.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,39.0,45.0,6.0,0,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
1980,47.0,44.0,3.0,1,489,49,43901812,35483820,79385632,181.11,18.15,55.3,44.7,162.96,10.6
