year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1960,43.0,48.0,5.0,1,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,48.0,48.0,0.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,50.0,45.0,5.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,51.0,44.0,7.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,48.0,47.0,1.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,47.0,49.0,2.0,1,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,50.0,46.0,4.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,44.0,50.0,6.0,1,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,47.0,47.0,0.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,48.0,47.0,1.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,46.0,47.0,1.0,1,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,49.0,46.0,3.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,49.0,45.0,4.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
1960,51.0,49.0,2.0,0,219,303,34107646,34227096,68334742,81.11,112.22,49.91,50.09,31.11,0.18
