year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2012,48.0,44.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,43.0,6.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,44.0,5.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,45.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,44.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,43.0,5.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,43.0,6.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,44.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,44.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,44.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,46.0,46.0,0.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,45.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,46.0,44.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,45.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,46.0,45.0,1.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,44.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,46.0,45.0,1.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,45.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,46.0,45.0,1.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,45.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,44.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,45.0,2.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,46.0,1.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,47.0,0.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,45.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,48.0,45.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,45.0,4.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,46.0,3.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,48.0,1.0,1,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,47.0,0.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,47.0,48.0,1.0,1,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
2012,49.0,48.0,1.0,0,206,332,60933504,65915795,126849299,76.3,122.96,48.04,51.96,46.66,3.92
