year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1992,25.0,44.0,19.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,26.0,41.0,15.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,29.0,35.0,6.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,25.0,35.0,10.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,26.0,30.0,4.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,25.0,31.0,6.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,24.0,24.0,0.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,24.0,32.0,8.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,27.0,33.0,6.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,40.0,48.0,8.0,1,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,56.0,34.0,22.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,56.0,36.0,20.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,57.0,32.0,25.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,56.0,37.0,19.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,50.0,39.0,11.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,52.0,42.0,10.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,54.0,39.0,15.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,51.0,42.0,9.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,50.0,40.0,10.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,54.0,38.0,16.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,51.0,35.0,16.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,47.0,35.0,12.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,50.0,34.0,16.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,51.0,33.0,18.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,46.0,34.0,12.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,47.0,34.0,13.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,47.0,29.0,18.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,44.0,32.0,12.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,41.0,30.0,11.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,42.0,31.0,11.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,40.0,38.0,2.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,41.0,40.0,1.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,43.0,36.0,7.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
1992,49.0,37.0,12.0,0,168,370,39104545,44909889,84014434,62.22,137.04,46.55,53.45,74.82,6.9
