year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
2024,46.0,44.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,45.0,44.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,45.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,48.0,45.0,3.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,46.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,45.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,46.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,46.0,46.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,45.0,45.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,45.0,44.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,45.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,46.0,45.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,46.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,48.0,46.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,46.0,46.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,45.0,45.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,46.0,45.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,44.0,3.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,45.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,48.0,45.0,3.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,48.0,46.0,2.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,47.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,48.0,1.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,46.0,48.0,2.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,48.0,1.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,47.0,49.0,2.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,48.0,49.0,1.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,49.0,49.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,49.0,48.0,1.0,1,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
2024,49.0,49.0,0.0,0,312,226,77303569,75009233,152312802,115.56,83.7,50.75,49.25,31.86,1.5
