year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1984,48.0,47.0,1.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,53.0,43.0,10.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,52.0,42.0,10.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,50.0,45.0,5.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,52.0,44.0,8.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,54.0,41.0,13.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,52.0,44.0,8.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,50.0,46.0,4.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,53.0,43.0,10.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,53.0,44.0,9.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,55.0,38.0,17.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,51.0,43.0,8.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,53.0,39.0,14.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,53.0,41.0,12.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,52.0,41.0,11.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,56.0,37.0,19.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,58.0,37.0,21.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,55.0,39.0,16.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,58.0,38.0,20.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,56.0,39.0,17.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
1984,59.0,41.0,18.0,1,525,13,54455075,37577185,92032260,194.44,4.81,59.17,40.83,189.63,18.34
